episode,reward,r_acc,r_action
453,-790.713379,-716.222218,-74.491187
454,-1024.575317,-978.555557,-46.019805
455,-675.765137,-609.444450,-66.320706
456,-849.506104,-802.000008,-47.506141
457,-916.936707,-857.333344,-59.603382
458,-854.904297,-781.777786,-73.126519
459,-866.708008,-828.222229,-38.485801
460,-890.873169,-821.666672,-69.206480
461,-823.113708,-740.888901,-82.224808
462,-498.487396,-425.777778,-72.709653
463,-473.578705,-420.222221,-53.356463
464,-314.183441,-258.222219,-55.961229
465,-550.552002,-486.444447,-64.107538
466,-513.427734,-458.777775,-54.649975
467,-419.000458,-354.888891,-64.111578
468,-714.487793,-650.777763,-63.710060
469,-549.029602,-478.444447,-70.585179
470,-378.355713,-328.666666,-49.689053
471,-690.658447,-591.888897,-98.769556
472,-684.298462,-611.444431,-72.854005
473,-677.319946,-623.777783,-53.542132
474,-667.211609,-612.888897,-54.322701
475,-586.037842,-530.999996,-55.037834
476,-690.910278,-640.555546,-50.354748
477,-385.489532,-302.666668,-82.822842
478,-515.213562,-448.333336,-66.880205
479,-384.322693,-323.777779,-60.544904
480,-588.792786,-521.777781,-67.015024
481,-268.618103,-209.111112,-59.506990
482,-274.290649,-206.111113,-68.179551
483,-298.727264,-221.555556,-77.171702
484,-489.456451,-409.999996,-79.456469
485,-514.705322,-459.111107,-55.594244
486,-397.052490,-334.777784,-62.274712
487,-372.021576,-314.444437,-57.577126
488,-379.650970,-319.555557,-60.095405
489,-418.314758,-363.111109,-55.203676
490,-393.111298,-349.666672,-43.444638
491,-332.641174,-271.555553,-61.085610
492,-284.770447,-234.333338,-50.437098
493,-439.274963,-376.111120,-63.163843
494,-439.966705,-380.888900,-59.077793
495,-373.964081,-319.777777,-54.186303
496,-344.161133,-281.888889,-62.272237
497,-326.427887,-263.333326,-63.094574
498,-540.937195,-468.666660,-72.270509
499,-257.069946,-201.222221,-55.847716
500,-373.226044,-291.000002,-82.226049
501,-204.066391,-145.666667,-58.399734
502,-289.036560,-210.222222,-78.814341
503,-307.792206,-225.666662,-82.125538
504,-282.324738,-194.555555,-87.769187
505,-271.704193,-213.222220,-58.481986
506,-218.616531,-157.777777,-60.838752
507,-231.855789,-178.444441,-53.411338
508,-312.009003,-252.888889,-59.120104
509,-189.578430,-130.555552,-59.022877
510,-290.684662,-226.111111,-64.573544
511,-214.156326,-144.888890,-69.267435
512,-210.573105,-156.777780,-53.795328
513,-230.831543,-171.444442,-59.387095
514,-386.789642,-321.777781,-65.011839
515,-255.757812,-197.555556,-58.202244
516,-319.180237,-252.666665,-66.513555
517,-297.456665,-231.777777,-65.678888
518,-247.397888,-193.888888,-53.509008
519,-254.388397,-174.000002,-80.388404
520,-467.779755,-399.555559,-68.224189
521,-289.309113,-236.666663,-52.642448
522,-305.842316,-230.777778,-75.064540
523,-324.130646,-234.666661,-89.463997
524,-317.636292,-239.888886,-77.747401
525,-243.617035,-186.777779,-56.839260
526,-330.295929,-239.666669,-90.629262
527,-255.658157,-173.666669,-81.991500
528,-352.941254,-289.888891,-63.052351
529,-256.707458,-198.000002,-58.707448
530,-215.302582,-159.333335,-55.969226
531,-316.683868,-264.888891,-51.794970
532,-273.054260,-193.000001,-80.054263
533,-160.034836,-85.888888,-74.145953
534,-326.391388,-230.111115,-96.280265
535,-245.955322,-179.444442,-66.510873
536,-381.550659,-293.666668,-87.883980
537,-279.372650,-198.111112,-81.261548
538,-358.695892,-281.222223,-77.473681
539,-377.958862,-297.777778,-80.181093
540,-337.318115,-250.777778,-86.540358
541,-289.713898,-205.555555,-84.158323
542,-231.246368,-183.111112,-48.135249
543,-248.824310,-173.444443,-75.379873
544,-319.742096,-245.999995,-73.742096
545,-263.162720,-194.333334,-68.829377
546,-257.216827,-198.666660,-58.550167
547,-312.288513,-252.111109,-60.177392
548,-211.260178,-167.777777,-43.482405
549,-214.620377,-143.666669,-70.953702
550,-269.054749,-212.333331,-56.721414
551,-292.223145,-210.888893,-81.334262
552,-262.573578,-204.222225,-58.351342
553,-267.639618,-182.333331,-85.306261
554,-250.003876,-194.666667,-55.337212
555,-370.401367,-273.888886,-96.512461
556,-267.010345,-205.555552,-61.454782
557,-266.900360,-191.444445,-75.455927
558,-320.952698,-245.444448,-75.508247
559,-319.862640,-248.333330,-71.529313
560,-312.265106,-225.444447,-86.820643
561,-244.924545,-186.888889,-58.035651
562,-302.077118,-246.666667,-55.410448
563,-254.842255,-181.888891,-72.953372
564,-308.890900,-241.777771,-67.113138
565,-224.806473,-181.111107,-43.695375
566,-333.100830,-256.000002,-77.100806
567,-254.531738,-200.888886,-53.642868
568,-315.592316,-239.000004,-76.592313
569,-221.633713,-169.111113,-52.522594
570,-247.945251,-183.444444,-64.500800
571,-258.815674,-201.444447,-57.371233
572,-207.814774,-148.222223,-59.592541
573,-319.115265,-241.999999,-77.115284
574,-301.845154,-239.555556,-62.289592
575,-268.326874,-192.777778,-75.549100
576,-245.249969,-186.111107,-59.138871
577,-211.587936,-149.777778,-61.810170
578,-309.935486,-246.888884,-63.046581
579,-264.037689,-195.111109,-68.926569
580,-249.683746,-183.888892,-65.794866
581,-266.132904,-184.666665,-81.466256
582,-263.534332,-200.444447,-63.089894
583,-251.834320,-185.555557,-66.278770
584,-272.321777,-210.777777,-61.543994
585,-313.227417,-254.555552,-58.671853
586,-248.602112,-182.111114,-66.490991
587,-268.104187,-213.555557,-54.548625
588,-271.965393,-216.444443,-55.520951
589,-292.427612,-214.111111,-78.316488
590,-235.697128,-173.555556,-62.141565
591,-283.251526,-207.666669,-75.584848
592,-253.014389,-198.111113,-54.903288
593,-328.699066,-242.222222,-86.476854
594,-283.766571,-190.777780,-92.988790
595,-278.739502,-223.777778,-54.961731
596,-291.481201,-230.444448,-61.036752
597,-292.338837,-218.888888,-73.449937
598,-250.709549,-191.222221,-59.487316
599,-290.196350,-243.999999,-46.196341
600,-314.773163,-241.555550,-73.217635
601,-317.729065,-255.222218,-62.506847
602,-239.200058,-177.444443,-61.755596
603,-239.873734,-163.333333,-76.540404
604,-263.519989,-188.444443,-75.075555
605,-269.589935,-189.222224,-80.367703
606,-289.117279,-232.333336,-56.783931
607,-275.837402,-221.888885,-53.948495
608,-287.032928,-194.777775,-92.255166
609,-248.667984,-182.333336,-66.334646
610,-323.518646,-237.000000,-86.518661
611,-349.243195,-302.333335,-46.909874
612,-264.664764,-203.888890,-60.775874
613,-283.475250,-197.666670,-85.808558
614,-256.409973,-203.333336,-53.076648
615,-243.763214,-175.666666,-68.096563
616,-303.139099,-253.444445,-49.694645
617,-311.474365,-248.888891,-62.585459
618,-240.556076,-169.111111,-71.444964
619,-321.705444,-281.222223,-40.483222
620,-260.840118,-224.000003,-36.840111
621,-305.516663,-253.444447,-52.072200
622,-274.536957,-216.444444,-58.092498
623,-232.809723,-181.333334,-51.476381
624,-305.112488,-232.555555,-72.556952
625,-243.948883,-161.111112,-82.837772
626,-284.819733,-233.222223,-51.597521
627,-251.835052,-202.111115,-49.723937
628,-255.619324,-197.333335,-58.285979
629,-336.328033,-284.888892,-51.439143
630,-267.421783,-198.888887,-68.532898
631,-265.198334,-192.999998,-72.198352
632,-354.077087,-288.666666,-65.410416
633,-218.542130,-167.111114,-51.431023
634,-313.219604,-227.444443,-85.775138
635,-357.740723,-280.777779,-76.962932
636,-284.543640,-221.000001,-63.543629
637,-269.110077,-188.222220,-80.887878
638,-261.544250,-196.666664,-64.877601
639,-321.021088,-257.888884,-63.132189
640,-346.350403,-287.999999,-58.350420
641,-347.659607,-261.111109,-86.548495
642,-323.839752,-244.000000,-79.839753
643,-305.606232,-227.333334,-78.272912
644,-310.403687,-257.333330,-53.070365
645,-237.283630,-193.444448,-43.839171
646,-251.843185,-181.444446,-70.398745
647,-203.928986,-149.555557,-54.373439
648,-267.966003,-217.444447,-50.521562
649,-293.173767,-224.555562,-68.618212
650,-278.078125,-217.222224,-60.855876
651,-309.198303,-239.000000,-70.198283
652,-294.325867,-232.111115,-62.214760
653,-230.407043,-175.222221,-55.184820
654,-247.896606,-170.444447,-77.452153
